Creative_Type	Director	Distributor	IMDB_Rating	IMDB_Votes	MPAA_Rating	Major_Genre	Production_Budget	Release_Date	Rotten_Tomatoes_Rating	Running_Time_min	Source	Title	US_DVD_Sales	US_Gross	Worldwide_Gross
Historical Fiction	NUUUU	Sony Pictures	7.1	16514	PG	Drama	15000000	21-Dec-94	89	NUUUU	Based on Book/Short Story	Little Women	NUUUU	50003303	50003303
Dramatization	David Lean	Sony Pictures	8.6	79421	NUUUU	Adventure	15000000	16-Dec-62	98	NUUUU	Based on Book/Short Story	Lawrence of Arabia	NUUUU	37495385	69995385
Contemporary Fiction	Albert Hughes	New Line	7.4	14807	R	Action	3500000	26-May-93	85	NUUUU	Original Screenplay	Menace II Society	NUUUU	27731527	27731527
Historical Fiction	Kenneth Branagh	Goldwyn Entertainment	7.4	22470	NUUUU	Drama	8000000	7-May-93	90	NUUUU	Based on Play	Much Ado About Nothing	NUUUU	22549338	22549338
Historical Fiction	NUUUU	Sony Pictures	6.7	2588	PG-13	Western	3800000	7-Apr-65	97	NUUUU	Based on Book/Short Story	Major Dundee	NUUUU	14873	14873
NUUUU	Kenneth Branagh	Here Films	6.4	499	NUUUU	NUUUU	27000000	NUUUU	NUUUU	NUUUU	NUUUU	The Magic Flute	NUUUU	0	0
NUUUU	NUUUU	MGM	2.2	376	NUUUU	NUUUU	558000	1931-01-01	NUUUU	NUUUU	NUUUU	Mata Hari	NUUUU	900000	900000
Dramatization	Spike Lee	Warner Bros.	7.7	23062	NUUUU	Drama	35000000	18-Nov-92	90	NUUUU	Based on Book/Short Story	Malcolm X	NUUUU	48169910	48169910
NUUUU	NUUUU	NUUUU	6.2	3281	NUUUU	NUUUU	350000	1980-01-01	NUUUU	NUUUU	NUUUU	Maniac	NUUUU	10000000	10000000
NUUUU	NUUUU	NUUUU	7.7	34302	NUUUU	Musical	6000000	26-Aug-64	100	NUUUU	NUUUU	Mary Poppins	NUUUU	102300000	102300000
Historical Fiction	Stephen Frears	Sony Pictures	5.5	6864	R	Drama	47000000	23-Feb-96	27	NUUUU	Based on Book/Short Story	Mary Reilly	NUUUU	5707094	6370115
Contemporary Fiction	NUUUU	Sony Pictures	4.9	7064	R	Action	25000000	13-Sep-96	29	NUUUU	Original Screenplay	Maximum Risk	NUUUU	14102929	51702929
NUUUU	Robert Altman	NUUUU	8.6	8043	R	NUUUU	3500000	1-Jan-70	NUUUU	NUUUU	NUUUU	M*A*S*H	NUUUU	81600000	81600000
Fantasy	Chuck Russell	New Line	6.6	72981	PG-13	Comedy	18000000	29-Jul-94	75	NUUUU	Based on Comic/Graphic Novel	The Mask	NUUUU	119920129	343900000
Science Fiction	Tim Burton	Warner Bros.	6.3	76396	PG-13	Comedy	80000000	13-Dec-96	50	110	Original Screenplay	Mars Attacks!	NUUUU	37771017	101371017
Contemporary Fiction	Spike Lee	Universal	6.3	4210	NUUUU	Drama	10000000	3-Aug-90	72	NUUUU	Original Screenplay	Mo' Better Blues	NUUUU	16153000	16153000
Historical Fiction	John Huston	NUUUU	7.4	5969	NUUUU	Adventure	4500000	1956-01-01	67	NUUUU	Based on Book/Short Story	Moby Dick	NUUUU	10400000	10400000
NUUUU	Stephen Frears	Orion Classics	6.9	5381	NUUUU	NUUUU	400000	April, 1986	NUUUU	NUUUU	NUUUU	My Beautiful Laundrette	NUUUU	0	0
Factual	NUUUU	Giant Screen Films	7.2	746	Not Rated	Documentary	7000000	5-May-00	64	46	Based on Real Life Events	Michael Jordan to the MAX	NUUUU	18642318	18642318
Dramatization	Neil Jordan	Warner Bros.	6.9	11805	R	Drama	25000000	11-Oct-96	77	NUUUU	Based on Real Life Events	Michael Collins	NUUUU	11092559	27572844
Contemporary Fiction	NUUUU	20th Century Fox	7.3	30524	NUUUU	Comedy	11000000	13-Mar-92	86	NUUUU	Original Screenplay	My Cousin Vinny	NUUUU	52929168	52929168
Contemporary Fiction	John McTiernan	Walt Disney Pictures	5.7	9307	NUUUU	Drama	40000000	7-Feb-92	22	87	Original Screenplay	Medicine Man	NUUUU	44948240	44948240
Dramatization	Akira Kurosawa	WinStar Cinema	7.4	1748	NUUUU	Drama	11900000	20-Mar-98	NUUUU	NUUUU	Based on Real Life Events	Madadayo	NUUUU	48856	48856
Contemporary Fiction	NUUUU	20th Century Fox	4.5	2144	NUUUU	Comedy	8000000	25-Dec-81	NUUUU	NUUUU	Original Screenplay	Modern Problems	NUUUU	24474312	24474312
Dramatization	Milos Forman	Warner Bros.	8.4	96997	R	Drama	18000000	19-Sep-84	96	NUUUU	Based on Play	Amadeus	NUUUU	51973029	51973029
NUUUU	NUUUU	Kino International	8.5	35773	NUUUU	Comedy	1500000	5-Feb-36	100	NUUUU	NUUUU	Modern Times	NUUUU	163245	163245
Contemporary Fiction	Stephen Herek	Walt Disney Pictures	5.9	15479	PG	Comedy	10000000	2-Oct-92	8	NUUUU	Original Screenplay	The Mighty Ducks	NUUUU	50752337	50752337
NUUUU	Fred Zinnemann	Sony Pictures	8.1	12460	NUUUU	NUUUU	3900000	12-Dec-66	85	NUUUU	NUUUU	A Man for All Seasons	NUUUU	28350000	28350000
Science Fiction	Hal Needham	20th Century Fox	2.5	1446	NUUUU	Action	18000000	25-Jun-82	NUUUU	NUUUU	Original Screenplay	Megaforce	NUUUU	5675599	5675599
Contemporary Fiction	Barbra Streisand	Sony Pictures	6.0	6055	PG-13	Romantic Comedy	42000000	15-Nov-96	54	127	Original Screenplay	The Mirror Has Two Faces	NUUUU	41267469	41267469
NUUUU	John Schlesinger	MGM	8.0	34053	R	NUUUU	3600000	25-May-69	90	NUUUU	NUUUU	Midnight Cowboy	NUUUU	44785053	44785053
Contemporary Fiction	Martin Brest	Universal	7.5	24104	NUUUU	Action	30000000	20-Jul-88	96	NUUUU	Original Screenplay	Midnight Run	NUUUU	38413606	81613606
Contemporary Fiction	NUUUU	Paramount Pictures	6.9	20798	NUUUU	Comedy	11000000	7-Apr-89	84	NUUUU	Original Screenplay	Major League	NUUUU	49793054	49793054
NUUUU	Martin Ritt	NUUUU	6.8	1304	PG	NUUUU	11000000	1970-01-01	89	NUUUU	NUUUU	The Molly Maguires	NUUUU	2200000	2200000
NUUUU	NUUUU	Painted Zebra Releasing	5.0	248	R	Horror	200000	10-Sep-04	31	NUUUU	Original Screenplay	Malevolence	NUUUU	126021	257516
Science Fiction	George Miller	Warner Bros.	NUUUU	NUUUU	NUUUU	Action	2000000	21-May-82	NUUUU	NUUUU	NUUUU	Mad Max 2: The Road Warrior	NUUUU	24600832	24600832
NUUUU	NUUUU	NUUUU	7.5	14460	NUUUU	NUUUU	9400000	7-Nov-63	NUUUU	NUUUU	NUUUU	It's a Mad Mad Mad Mad World	NUUUU	46300000	60000000
Science Fiction	George Miller	NUUUU	6.9	36548	NUUUU	Action	200000	21-Mar-80	NUUUU	NUUUU	NUUUU	Mad Max	NUUUU	8750000	99750000
Science Fiction	George Miller	Warner Bros.	5.9	24273	NUUUU	Action	10000000	10-Jul-85	NUUUU	NUUUU	NUUUU	Mad Max Beyond Thunderdome	NUUUU	36230219	36230219
Historical Fiction	George Miller	20th Century Fox	7.0	3101	NUUUU	Drama	5000000	3-Nov-82	80	NUUUU	Original Screenplay	The Man From Snowy River	NUUUU	20659423	20659423
NUUUU	NUUUU	NUUUU	5.2	1435	NUUUU	NUUUU	6000000	19-Dec-95	NUUUU	NUUUU	NUUUU	Men of War	NUUUU	0	0
NUUUU	NUUUU	NUUUU	8.4	155049	NUUUU	NUUUU	400000	10-May-75	NUUUU	NUUUU	NUUUU	Monty Python and the Holy Grail	NUUUU	3427696	5028948
Contemporary Fiction	NUUUU	Artisan	5.8	2559	R	Comedy	7500000	8-Mar-02	63	NUUUU	Original Screenplay	Men with Brooms	NUUUU	4239767	4239767
NUUUU	NUUUU	MGM	7.9	7608	NUUUU	NUUUU	19000000	8-Nov-62	69	NUUUU	NUUUU	Mutiny on The Bounty	NUUUU	13680000	13680000
Dramatization	Frank Perry	Paramount Pictures	6.3	4905	NUUUU	Drama	5000000	18-Sep-81	57	NUUUU	Based on Book/Short Story	Mommie Dearest	NUUUU	19032000	25032000
NUUUU	NUUUU	Sony Pictures	6.1	1233	NUUUU	NUUUU	7000000	5-Aug-77	NUUUU	NUUUU	NUUUU	March or Die	NUUUU	1000000	1000000
Science Fiction	John Carpenter	Warner Bros.	5.8	8522	NUUUU	Comedy	40000000	28-Feb-92	24	NUUUU	Based on Book/Short Story	Memoirs of an Invisible Man	NUUUU	14358033	14358033
NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	Not Rated	Drama	7000	2004-01-01	NUUUU	NUUUU	Original Screenplay	The Mongol King	NUUUU	900	900
Contemporary Fiction	Gus Van Sant	Fine Line	7.0	17604	NUUUU	Black Comedy	2500000	29-Sep-91	84	NUUUU	Based on Book/Short Story	My Own Private Idaho	NUUUU	6401336	6401336
Contemporary Fiction	NUUUU	MGM	6.1	26760	NUUUU	Action	31000000	29-Jun-79	64	NUUUU	Based on Book/Short Story	Moonraker	NUUUU	70300000	210300000
Contemporary Fiction	Joseph Ruben	Sony Pictures	5.2	13972	R	Action	68000000	22-Nov-95	17	NUUUU	Original Screenplay	Money Train	NUUUU	35324232	77224232
NUUUU	Whit Stillman	NUUUU	7.2	3355	NUUUU	NUUUU	430000	3-Aug-90	88	NUUUU	NUUUU	Metropolitan	NUUUU	2938000	2938000
Historical Fiction	NUUUU	Rainbow Releasing	NUUUU	NUUUU	Not Rated	Comedy	4000000	17-Aug-79	NUUUU	NUUUU	Original Screenplay	The Life of Brian	NUUUU	20008693	20008693
Contemporary Fiction	Kevin Smith	Gramercy	7.1	52807	R	Comedy	6100000	20-Oct-95	53	NUUUU	Original Screenplay	Mallrats	NUUUU	2108367	2108367
Contemporary Fiction	NUUUU	Eros Entertainment	6.7	1047	Not Rated	Romantic Comedy	250000	16-Mar-01	42	NUUUU	Original Screenplay	American Desi	NUUUU	902835	1366235
Contemporary Fiction	Richard Benjamin	Sony Pictures	5.8	2987	PG-13	Romantic Comedy	25000000	19-Apr-96	7	NUUUU	Based on Book/Short Story	Mrs. Winterbourne	NUUUU	10039566	10039566
Contemporary Fiction	Chris Columbus	20th Century Fox	6.6	56917	PG-13	Comedy	25000000	24-Nov-93	64	NUUUU	Based on Book/Short Story	Mrs. Doubtfire	NUUUU	219195051	441286003
NUUUU	Frank Capra	Sony/Columbia	8.2	33315	NUUUU	Drama	1500000	1939-01-01	97	NUUUU	Original Screenplay	Mr. Smith Goes To Washington	NUUUU	9000000	9000000
Fantasy	Paul Anderson	New Line	5.4	29605	PG-13	Action	20000000	18-Aug-95	35	NUUUU	Based on Game	Mortal Kombat	NUUUU	70433227	122133227
NUUUU	Kenneth Branagh	Sony Pictures	6.2	19913	R	Horror	45000000	4-Nov-94	NUUUU	NUUUU	Based on Book/Short Story	Frankenstein	NUUUU	22006296	112006296
NUUUU	John Huston	NUUUU	7.4	6351	NUUUU	NUUUU	4000000	1961-01-01	100	NUUUU	NUUUU	The Misfits	NUUUU	8200000	8200000
Science Fiction	Richard Benjamin	Sony Pictures	4.8	9073	NUUUU	Comedy	16000000	9-Dec-88	13	NUUUU	Original Screenplay	My Stepmother Is an Alien	NUUUU	13854000	13854000
NUUUU	John Ford	NUUUU	8.1	22681	NUUUU	NUUUU	3200000	1-Jan-62	97	NUUUU	NUUUU	The Man Who Shot Liberty Valance	NUUUU	8000000	8000000
Contemporary Fiction	Brian De Palma	Paramount Pictures	6.9	86222	PG-13	Action	80000000	21-May-96	NUUUU	110	Based on TV	Mission: Impossible	NUUUU	180981886	456481886
NUUUU	Ronald Neame	NUUUU	4.7	2969	NUUUU	NUUUU	16000000	1979-01-01	9	NUUUU	NUUUU	Meteor	NUUUU	8400000	8400000
Science Fiction	Harold Ramis	Sony Pictures	5.7	11935	PG-13	Comedy	45000000	17-Jul-96	44	117	Based on Book/Short Story	Multiplicity	NUUUU	20133326	20133326
Contemporary Fiction	NUUUU	Goodbye Cruel Releasing	7.0	1102	R	Comedy	30000	1-Sep-06	NUUUU	NUUUU	Original Screenplay	Mutual Appreciation	NUUUU	103509	103509
NUUUU	NUUUU	Walt Disney Pictures	7.5	10853	NUUUU	Comedy	12000000	11-Dec-92	67	NUUUU	Based on TV	The Muppet Christmas Carol	NUUUU	27281507	27281507
NUUUU	Guy Hamilton	MGM	6.7	22431	NUUUU	Action	7000000	20-Dec-74	52	NUUUU	Based on Book/Short Story	The Man with the Golden Gun	NUUUU	21000000	97600000
Historical Fiction	George Cukor	NUUUU	7.9	28039	NUUUU	Musical	17000000	22-Oct-64	94	NUUUU	Based on Musical/Opera	My Fair Lady	NUUUU	72000000	72000000
Contemporary Fiction	Donald Petrie	Samuel Goldwyn Films	5.9	8413	NUUUU	Comedy	6000000	21-Oct-88	82	NUUUU	Original Screenplay	Mystic Pizza	NUUUU	12793213	12793213
Contemporary Fiction	NUUUU	Eros Entertainment	6.7	1511	Not Rated	Romantic Comedy	8400000	23-Mar-07	NUUUU	NUUUU	Original Screenplay	Namastey London	NUUUU	1207007	6831069
NUUUU	NUUUU	NUUUU	6.8	91	PG-13	NUUUU	700000	8-Oct-99	NUUUU	NUUUU	NUUUU	Naturally Native	NUUUU	10508	10508
Historical Fiction	NUUUU	MGM	3.0	326	NUUUU	Drama	46000000	17-Sep-82	NUUUU	NUUUU	Original Screenplay	Inchon	NUUUU	4408636	4408636
Historical Fiction	Steven Spielberg	Paramount Pictures	7.5	110761	NUUUU	Adventure	28000000	23-May-84	85	NUUUU	Original Screenplay	Indiana Jones and the Temple of Doom	18998388	179880271	333080271
Historical Fiction	Steven Spielberg	Paramount Pictures	8.3	171572	NUUUU	Adventure	48000000	24-May-89	89	NUUUU	Original Screenplay	Indiana Jones and the Last Crusade	18740425	197171806	474171806
NUUUU	NUUUU	Yash Raj Films	3.5	494	Not Rated	Drama	1300000	9-Dec-05	NUUUU	NUUUU	NUUUU	Neal n' Nikki	NUUUU	100358	329621
Fantasy	Renny Harlin	New Line	5.2	13310	NUUUU	Horror	13000000	19-Aug-88	NUUUU	NUUUU	Original Screenplay	A Nightmare on Elm Street 4: The Dream Master	NUUUU	49369899	49369899
Contemporary Fiction	Brad Anderson	Miramax	NUUUU	NUUUU	R	Romantic Comedy	1000000	21-Aug-98	NUUUU	NUUUU	Original Screenplay	Next Stop, Wonderland	NUUUU	3386698	3456820
Contemporary Fiction	NUUUU	Universal	6.3	5649	NUUUU	Action	5000000	10-Apr-81	71	NUUUU	Original Screenplay	Nighthawks	NUUUU	14600000	19600000
Historical Fiction	Anthony Minghella	Miramax	7.3	54484	R	Drama	35000000	15-Nov-96	83	160	Based on Book/Short Story	The English Patient	NUUUU	78716374	231716374
NUUUU	NUUUU	20th Century Fox	7.0	4698	NUUUU	NUUUU	1250000	21-Jan-53	NUUUU	NUUUU	NUUUU	Niagara	NUUUU	2500000	2500000
Contemporary Fiction	David Zucker	Paramount Pictures	6.6	26384	NUUUU	Comedy	23000000	28-Jun-91	NUUUU	NUUUU	Based on TV	The Naked Gun 2Ω: The Smell of Fear	NUUUU	86930411	86930411
Contemporary Fiction	Peter Segal	Paramount Pictures	6.1	24904	PG-13	Comedy	30000000	18-Mar-94	NUUUU	NUUUU	Based on TV	Naked Gun 33 1/3: The Final Insult	NUUUU	51041856	51041856
NUUUU	John Landis	Universal	NUUUU	NUUUU	R	NUUUU	3000000	28-Jul-78	90	NUUUU	NUUUU	National Lampoon's Animal House	NUUUU	141600000	141600000
Science Fiction	NUUUU	Walter Reade Organization	6.6	10083	Not Rated	Horror	114000	1-Oct-68	96	NUUUU	Original Screenplay	Night of the Living Dead	NUUUU	12000000	30000000
NUUUU	Edward Burns	Gramercy	5.7	1145	R	NUUUU	5000000	27-Mar-98	38	NUUUU	NUUUU	No Looking Back	NUUUU	143273	143273
NUUUU	Fred Zinnemann	NUUUU	7.5	3313	NUUUU	NUUUU	3500000	1959-01-01	93	NUUUU	NUUUU	The Nun's Story	NUUUU	12800000	12800000
Fantasy	Wes Craven	New Line	5.3	12554	NUUUU	Horror	1800000	9-Nov-84	95	NUUUU	Original Screenplay	A Nightmare on Elm Street	NUUUU	25504513	25504513
Fantasy	NUUUU	New Line	4.9	16222	NUUUU	Horror	3000000	1-Nov-85	NUUUU	NUUUU	Original Screenplay	A Nightmare On Elm Street Part 2: Freddy's Revenge	NUUUU	21163999	21163999
Fantasy	Chuck Russell	New Line	6.2	17354	NUUUU	Horror	5000000	27-Feb-87	NUUUU	NUUUU	Original Screenplay	A Nightmare On Elm Street 3: Dream Warriors	NUUUU	44793222	44793222
Fantasy	Stephen Hopkins	New Line	4.7	10849	NUUUU	Horror	6000000	11-Aug-89	NUUUU	NUUUU	Original Screenplay	A Nightmare On Elm Street: The Dream Child	NUUUU	22168359	22168359
Fantasy	NUUUU	New Line	4.5	12779	R	Horror	5000000	13-Sep-91	NUUUU	NUUUU	Original Screenplay	Freddy's Dead: The Final Nightmare	NUUUU	34872033	34872033
Fantasy	Wes Craven	New Line	NUUUU	NUUUU	R	Horror	8000000	14-Oct-94	81	NUUUU	Original Screenplay	Wes Craven's New Nightmare	NUUUU	18090181	18090181
Fantasy	NUUUU	Sony/Columbia	6.6	10083	R	Horror	4200000	19-Oct-90	67	NUUUU	Remake	Night of the Living Dead	NUUUU	5835247	5835247
NUUUU	Alfred Hitchcock	NUUUU	6.3	9811	NUUUU	NUUUU	2000000	1946-01-01	97	NUUUU	NUUUU	Notorious	NUUUU	24464742	24464742
Contemporary Fiction	NUUUU	Warner Bros.	6.0	21247	NUUUU	Action	36000000	7-Oct-83	65	NUUUU	Based on Book/Short Story	Never Say Never Again	NUUUU	55500000	160000000
NUUUU	Emile Ardolino	NUUUU	5.2	561	NUUUU	NUUUU	19000000	1993-01-01	50	NUUUU	NUUUU	The Nutcracker	NUUUU	2119994	2119994
Contemporary Fiction	NUUUU	Sony/Columbia	5.0	6746	NUUUU	Action	15000000	15-Jan-93	26	NUUUU	Original Screenplay	Nowhere to Run	NUUUU	22189039	52189039
Fantasy	Neil Jordan	Warner Bros.	7.4	78953	R	Horror	50000000	11-Nov-94	NUUUU	NUUUU	Based on Book/Short Story	Interview with the Vampire: The Vampire Chronicles	NUUUU	105264608	223564608
Kids Fiction	Tom Shadyac	Universal	5.6	32234	PG-13	Comedy	55000000	28-Jun-96	67	95	Remake	The Nutty Professor	NUUUU	128814019	273814019
Fantasy	Wolfgang Petersen	Warner Bros.	7.4	25704	NUUUU	Adventure	27000000	20-Jul-84	NUUUU	NUUUU	Based on Book/Short Story	Die Unendliche Geschichte	NUUUU	21300000	21300000
NUUUU	NUUUU	NUUUU	6.6	1107	R	NUUUU	750000	15-Nov-02	67	NUUUU	NUUUU	Interview with the Assassin	NUUUU	47329	47329
Dramatization	Oliver Stone	Walt Disney Pictures	7.1	13761	R	Drama	45000000	20-Dec-95	75	NUUUU	Based on Real Life Events	Nixon	NUUUU	13668249	34668249
NUUUU	Martin Scorsese	MGM	6.7	1692	NUUUU	Musical	14000000	22-Jun-77	63	NUUUU	Original Screenplay	New York, New York	NUUUU	13800000	13800000
Contemporary Fiction	Francis Ford Coppola	Walt Disney Pictures	6.1	6906	NUUUU	Drama	15000000	1-Mar-89	74	NUUUU	Original Screenplay	New York Stories	NUUUU	10763469	10763469
Science Fiction	NUUUU	NUUUU	5.5	2229	NUUUU	Action	36500000	1-Jan-09	NUUUU	NUUUU	Based on Book/Short Story	Obitaemyy ostrov	NUUUU	0	15000000
Contemporary Fiction	John Glen	MGM	6.6	23167	NUUUU	Action	27500000	10-Jun-83	47	NUUUU	Based on Book/Short Story	Octopussy	NUUUU	67900000	187500000
Contemporary Fiction	Steven Seagal	Warner Bros.	3.8	9579	R	Action	50000000	18-Feb-94	NUUUU	NUUUU	Original Screenplay	On Deadly Ground	NUUUU	38590458	38590458
NUUUU	Milos Forman	MGM	8.9	214457	NUUUU	NUUUU	4400000	19-Nov-75	96	NUUUU	Based on Book/Short Story	One Flew Over the Cuckoo's Nest	NUUUU	108981275	108981275
Contemporary Fiction	Jeff Burr	Moviestore Entertainment	5.6	424	NUUUU	Horror	1100000	4-Sep-87	NUUUU	NUUUU	Original Screenplay	The Offspring	NUUUU	1355728	1355728
NUUUU	NUUUU	MGM	6.9	23159	NUUUU	Action	8000000	18-Dec-69	81	NUUUU	Based on Book/Short Story	On Her Majesty's Secret Service	NUUUU	22800000	82000000
NUUUU	Richard Donner	20th Century Fox	5.4	24523	NUUUU	Horror	2800000	25-Jun-76	84	NUUUU	Original Screenplay	The Omen	NUUUU	48570885	48570885
Fantasy	NUUUU	Providence Entertainment	3.3	3814	PG-13	Action	7200000	15-Oct-99	8	NUUUU	Original Screenplay	The Omega Code	NUUUU	12610552	12678312
Historical Fiction	Sydney Pollack	Universal	7.0	19638	NUUUU	Drama	31000000	18-Dec-85	63	NUUUU	Based on Book/Short Story	Out of Africa	NUUUU	79096868	258210860
NUUUU	NUUUU	New Line	5.1	230	NUUUU	NUUUU	1600000	11-Mar-89	NUUUU	NUUUU	NUUUU	Out of the Dark	NUUUU	419428	419428
Contemporary Fiction	Robert Redford	Paramount Pictures	7.0	138	NUUUU	Drama	6000000	19-Sep-80	91	NUUUU	Based on Book/Short Story	Ordinary People	NUUUU	52302978	52302978
Dramatization	NUUUU	Excel Entertainment	6.3	1670	PG	Drama	7000000	14-Dec-01	NUUUU	NUUUU	Based on Book/Short Story	The Other Side of Heaven	NUUUU	4720371	4720371
NUUUU	NUUUU	Cinema Con Sabor	6.3	113	Not Rated	Drama	10000	28-May-04	NUUUU	NUUUU	Original Screenplay	On the Down Low	NUUUU	1987	1987
Historical Fiction	NUUUU	Sony Pictures	6.9	4289	R	Drama	11000000	14-Dec-95	68	NUUUU	Based on Play	Othello	NUUUU	2844379	2844379
NUUUU	NUUUU	Fader Films	6.5	445	R	Drama	250000	15-Jul-05	NUUUU	NUUUU	NUUUU	On the Outs	NUUUU	49772	49772
NUUUU	Elia Kazan	NUUUU	8.4	41162	NUUUU	NUUUU	910000	28-Jul-54	100	NUUUU	NUUUU	On the Waterfront	NUUUU	9600000	9600000
Contemporary Fiction	Wolfgang Petersen	Warner Bros.	6.4	33192	R	Thriller/Suspense	50000000	10-Mar-95	59	NUUUU	Original Screenplay	Outbreak	NUUUU	67823573	67823573
Historical Fiction	Francis Ford Coppola	Warner Bros.	7.0	23607	PG-13	Drama	10000000	25-Mar-83	65	NUUUU	Based on Book/Short Story	The Outsiders	NUUUU	25697647	25697647
Contemporary Fiction	NUUUU	Magnolia Pictures	6.1	8066	R	Thriller/Suspense	10000000	6-Aug-10	10	NUUUU	Based on Book/Short Story	The Oxford Murders	NUUUU	3607	8667348
Contemporary Fiction	Hugh Wilson	Warner Bros.	6.3	23192	NUUUU	Comedy	4500000	23-Mar-84	47	NUUUU	Original Screenplay	Police Academy	NUUUU	81198894	81198894
Contemporary Fiction	NUUUU	Warner Bros.	2.5	13121	PG	Comedy	10000000	26-Aug-94	NUUUU	NUUUU	Original Screenplay	Police Academy 7: Mission to Moscow	NUUUU	126247	126247
NUUUU	NUUUU	Reliance Big Pictures	7.3	1059	NUUUU	NUUUU	4300000	4-Dec-09	60	NUUUU	NUUUU	Paa	NUUUU	199228	9791282
Historical Fiction	Clint Eastwood	Warner Bros.	7.1	15352	NUUUU	Western	6900000	28-Jun-85	92	NUUUU	Original Screenplay	Pale Rider	NUUUU	41410568	41410568
Contemporary Fiction	Phillip Noyce	Paramount Pictures	6.9	29544	NUUUU	Action	45000000	5-Jun-92	75	NUUUU	Based on Book/Short Story	Patriot Games	NUUUU	83287363	178100000
Contemporary Fiction	Matt Reeves	Miramax	4.7	4166	PG-13	Romantic Comedy	8000000	3-May-96	39	NUUUU	Original Screenplay	The Pallbearer	NUUUU	5656388	5656388
Historical Fiction	NUUUU	Walt Disney Pictures	6.0	26690	G	Adventure	55000000	10-Jun-95	55	NUUUU	Based on Real Life Events	Pocahontas	NUUUU	141579773	347100000
NUUUU	Frank Capra	NUUUU	7.2	2365	NUUUU	NUUUU	2900000	1961-01-01	63	NUUUU	NUUUU	Pocketful of Miracles	NUUUU	5000000	5000000
Contemporary Fiction	NUUUU	20th Century Fox	6.0	6967	PG-13	Comedy	9000000	29-Apr-94	47	NUUUU	Original Screenplay	PCU	NUUUU	4333569	4333569
NUUUU	NUUUU	NUUUU	6.0	4620	NUUUU	NUUUU	10000000	3-Nov-77	50	NUUUU	NUUUU	Pete's Dragon	NUUUU	36000000	36000000
NUUUU	Sam Peckinpah	NUUUU	7.3	6374	R	NUUUU	4638783	23-May-73	NUUUU	NUUUU	NUUUU	Pat Garrett and Billy the Kid	NUUUU	8000000	11000000
Fantasy	Tobe Hooper	MGM	7.4	32817	NUUUU	Horror	10700000	4-Jun-82	86	NUUUU	Original Screenplay	Poltergeist	NUUUU	74706019	121706019
Fantasy	NUUUU	MGM	3.8	5387	NUUUU	Horror	9500000	10-Jun-88	14	NUUUU	Original Screenplay	Poltergeist III	NUUUU	14114000	14114000
Fantasy	NUUUU	Universal	6.3	3781	NUUUU	Horror	3000000	8-Jul-88	29	NUUUU	NUUUU	Phantasm II	NUUUU	7000000	7000000
Contemporary Fiction	Jon Turteltaub	Walt Disney Pictures	6.3	26823	PG	Drama	32000000	5-Jul-96	50	124	Original Screenplay	Phenomenon	NUUUU	104636382	142836382
Contemporary Fiction	Jonathan Demme	Sony/TriStar	7.6	53283	NUUUU	Drama	26000000	22-Dec-93	74	NUUUU	Original Screenplay	Philadelphia	NUUUU	77324422	201324422
Super Hero	Simon Wincer	Paramount Pictures	4.8	9477	PG	Action	45000000	7-Jun-96	43	100	Based on Comic/Graphic Novel	The Phantom	NUUUU	17220599	17220599
Science Fiction	Darren Aronofsky	Live Entertainment	7.5	53699	R	Thriller/Suspense	68000	10-Jul-98	86	NUUUU	Original Screenplay	Pi	NUUUU	3221152	4678513
NUUUU	John Waters	Fine Line	5.8	7947	NC-17	NUUUU	12000	11-Apr-97	NUUUU	NUUUU	NUUUU	Pink Flamingos	NUUUU	413802	413802
NUUUU	Vincente Minnelli	NUUUU	7.1	1635	NUUUU	NUUUU	3700000	1948-01-01	71	NUUUU	NUUUU	The Pirate	NUUUU	2956000	2956000
NUUUU	Franklin J. Schaffner	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	5800000	8-Feb-68	NUUUU	NUUUU	NUUUU	The Planet of the Apes	NUUUU	33395426	33395426
Contemporary Fiction	Robert Altman	Fine Line	7.7	24451	R	Black Comedy	8000000	10-Apr-92	NUUUU	NUUUU	Based on Book/Short Story	The Player	NUUUU	21706101	28876702
Dramatization	Ron Howard	Universal	7.5	87605	PG	Drama	65000000	30-Jun-95	NUUUU	NUUUU	Based on Book/Short Story	Apollo 13	NUUUU	172070496	334100000
Historical Fiction	Oliver Stone	Orion Pictures	8.2	108641	NUUUU	Drama	6000000	19-Dec-86	86	NUUUU	Original Screenplay	Platoon	NUUUU	137963328	137963328
Contemporary Fiction	NUUUU	Roxie Releasing	2.7	473	R	Drama	1000000	1-Dec-00	92	NUUUU	Original Screenplay	Panic	NUUUU	779137	889279
Fantasy	Steve Barron	New Line	5.3	1734	G	Adventure	25000000	26-Jul-96	27	94	Based on Book/Short Story	The Adventures of Pinocchio	NUUUU	15382170	36682170
Contemporary Fiction	NUUUU	Kino International	4.6	386	R	Thriller/Suspense	800000	9-Aug-02	NUUUU	NUUUU	Original Screenplay	Pandora's Box	NUUUU	881950	881950
NUUUU	NUUUU	NUUUU	6.0	384	Not Rated	NUUUU	27000	24-Dec-99	NUUUU	NUUUU	NUUUU	Pink Narcissus	NUUUU	8231	8231
